Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost of oils and fats [CoHD_of],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of animal-source foods [CoHD_asf],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of fruits [CoHD_f],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a healthy diet [CoHD],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA]
Food Prices for Nutrition 1.1,FPN 1.1,Switzerland,CHE,2017,YR2017,8451840,0,0,0,0,0,0,0.333,0.278,0.055,2.253,1.876,0.373,0.32,1.17,3.18,3.5,0.027,2.72,0.099,0.268,0.084,0.294,0.229,0.067,0.249,0.675,0.212,0.743,0.577,6.04,2.523,2.101,0.418
Food Prices for Nutrition 1.1,FPN 1.1,"Taiwan, China",TWN,2017,YR2017,23552470,0.1,0.1,0,0.2,0.2,0,0.427,0.32,0.156,3.563,2.675,1.303,0.16,0.55,1.06,1.01,0.034,0.88,0.119,0.228,0.215,0.216,0.188,0.134,0.475,0.911,0.857,0.863,0.75,2.73,3.99,2.996,1.459
Food Prices for Nutrition 1.1,FPN 1.1,Tajikistan,TJK,2017,YR2017,8925525,4.5,3,0.2,50,33.5,2.3,1.203,0.932,0.362,2.703,2.094,0.814,0.29,0.8,1.49,0.77,0.053,1.14,0.145,0.272,0.182,0.14,0.207,0.16,0.439,0.823,0.552,0.425,0.628,3.32,3.027,2.345,0.912
Food Prices for Nutrition 1.1,FPN 1.1,Tanzania,TZA,2017,YR2017,56267032,48.3,42.5,20.7,85.9,75.6,36.8,0.976,0.731,0.374,2.32,1.736,0.888,0.28,0.37,1.18,0.9,0.06,0.93,0.08,0.253,0.214,0.194,0.199,0.155,0.208,0.657,0.557,0.504,0.518,2.61,2.598,1.944,0.994
Food Prices for Nutrition 1.1,FPN 1.1,Thailand,THA,2017,YR2017,70898202,14.5,5,0,20.5,7.1,0,0.656,0.476,0.173,3.546,2.574,0.935,0.13,0.54,1.05,0.83,0.029,0.88,0.123,0.237,0.226,0.188,0.198,0.114,0.488,0.942,0.896,0.746,0.786,3.79,3.971,2.883,1.047
Food Prices for Nutrition 1.1,FPN 1.1,Togo,TGO,2017,YR2017,7852795,..,..,..,..,..,..,..,1.716,1.44,..,2.063,1.731,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.31,1.939
Food Prices for Nutrition 1.1,FPN 1.1,Trinidad and Tobago,TTO,2017,YR2017,1478607,0.1,0.1,0,7,3.7,0.2,0.501,0.4,0.129,3.507,2.799,0.901,0.27,0.59,1.71,1.25,0.043,1.6,0.092,0.267,0.156,0.194,0.249,0.167,0.361,1.047,0.612,0.763,0.979,3.89,3.928,3.135,1.009
Food Prices for Nutrition 1.1,FPN 1.1,Tunisia,TUN,2017,YR2017,11811443,1.9,0.2,0,15.7,1.9,0,0.64,0.346,0.111,3.104,1.679,0.539,0.57,1.52,2.64,1.66,0.052,3.54,0.139,0.242,0.091,0.152,0.324,0.181,0.482,0.841,0.318,0.527,1.127,5.75,3.476,1.88,0.604
Food Prices for Nutrition 1.1,FPN 1.1,TÃ¼rkiye,TUR,2017,YR2017,82089826,5,2.6,0,6.1,3.1,0,0.391,0.311,0.096,2.565,2.041,0.633,0.35,0.75,2.27,1.24,0.044,2.36,0.094,0.284,0.125,0.156,0.296,0.127,0.271,0.817,0.36,0.448,0.85,4.05,2.873,2.286,0.709
Food Prices for Nutrition 1.1,FPN 1.1,Turks and Caicos Islands,TCA,2017,YR2017,39844,..,..,..,..,..,..,0.79,0.69,0.317,2.508,2.19,1.007,0.22,0.56,1.21,1.25,0.042,1.05,0.105,0.23,0.189,0.236,0.198,0.117,0.296,0.645,0.532,0.663,0.556,2.49,2.809,2.453,1.128
Food Prices for Nutrition 1.1,FPN 1.1,Uganda,UGA,2017,YR2017,40127085,33.8,27.6,5.5,84.4,68.8,13.7,1.807,1.183,0.426,2.454,1.607,0.579,0.37,0.4,1.72,1.07,0.067,1,0.071,0.31,0.18,0.192,0.18,0.184,0.196,0.853,0.495,0.528,0.494,4.24,2.749,1.8,0.648
Food Prices for Nutrition 1.1,FPN 1.1,United Arab Emirates,ARE,2017,YR2017,9068296,0,0,0,0.1,0,0,0.374,0.245,0.101,2.46,1.613,0.666,0.38,0.69,2.21,1.37,0.054,1.45,0.098,0.311,0.141,0.193,0.204,0.149,0.269,0.856,0.388,0.532,0.562,3.69,2.755,1.806,0.746
Food Prices for Nutrition 1.1,FPN 1.1,United Kingdom,GBR,2017,YR2017,66058859,0.3,0.3,0.1,0.5,0.4,0.1,0.341,0.285,0.049,1.627,1.363,0.235,0.36,1.33,3.36,2.71,0.029,3.63,0.107,0.271,0.081,0.219,0.293,0.053,0.195,0.494,0.147,0.399,0.533,6.93,1.822,1.526,0.263
